timestamp,model,num_inference_steps,guidance_scale,controlnet_conditioning_scale,trial,seed,device,status,total_time_seconds,peak_memory_gb,clip_score,sketch_fidelity_iou,sketch_fidelity_edge_density,error_message
2025-12-11T15:22:50.620492,sd-v1.5,10,7.5,0.7,1,42,cpu,success,189.6328923,2.361804962,0.310150087,0.004890357,1,
2025-12-11T15:26:03.137521,sd-v1.5,10,7.5,0.7,2,42,cpu,success,136.0970123,2.373130798,0.310150087,0.004890357,1,
2025-12-11T15:28:21.381895,sd-v1.5,10,7.5,1,1,42,cpu,success,193.3059713,2.439792633,0.297786176,0.003428545,1,
2025-12-11T15:31:38.402262,sd-v1.5,10,7.5,1,2,42,cpu,success,199.0826475,2.450180054,0.297786176,0.003428545,1,
2025-12-11T15:35:01.413310,sd-v1.5,10,10,0.7,1,42,cpu,success,243.1539132,2.414150238,0.309376657,0.013247303,1,
2025-12-11T15:39:07.785564,sd-v1.5,10,10,0.7,2,42,cpu,success,239.8172861,2.327430725,0.309376657,0.013247303,1,
2025-12-11T15:43:09.089195,sd-v1.5,10,10,1,1,42,cpu,success,72.9174629,2.36807251,0.243401542,0.004995681,1,
2025-12-11T15:44:23.565150,sd-v1.5,10,10,1,2,42,cpu,success,80.396636,2.353797913,0.243401542,0.004995681,1,
2025-12-11T15:45:45.606108,sd-v1.5,20,7.5,0.7,1,42,cpu,success,146.6030196,2.298069,0.306996286,0.014784486,1,
2025-12-11T15:48:13.735371,sd-v1.5,20,7.5,0.7,2,42,cpu,success,147.1191681,2.24792099,0.306996286,0.014784486,1,
2025-12-11T15:50:42.579301,sd-v1.5,20,7.5,1,1,42,cpu,success,147.0106537,2.286975861,0.299197078,0.00370225,1,
2025-12-11T15:53:11.222893,sd-v1.5,20,7.5,1,2,42,cpu,success,146.5893104,2.322063446,0.299197078,0.00370225,1,
2025-12-11T15:55:39.355821,sd-v1.5,20,10,0.7,1,42,cpu,success,306.2726998,2.261451721,0.313498616,0.014517024,1,
2025-12-11T16:00:49.308113,sd-v1.5,20,10,0.7,2,42,cpu,success,356.9679657,2.253318787,0.313498616,0.014517024,1,
2025-12-11T16:06:50.135133,sd-v1.5,20,10,1,1,42,cpu,success,309.6593867,2.261226654,0.30551371,0.012268223,1,
2025-12-11T16:12:01.342848,sd-v1.5,20,10,1,2,42,cpu,success,136.2607922,2.302112579,0.30551371,0.012268223,1,
2025-12-11T16:14:19.098059,sd-v1.5,50,7.5,0.7,1,42,cpu,success,412.1007711,2.2315979,0.301662385,0.01417515,1,
2025-12-11T16:21:12.759128,sd-v1.5,50,7.5,0.7,2,42,cpu,success,488.3856644,2.303756714,0.301662385,0.01417515,1,
2025-12-11T16:29:22.680077,sd-v1.5,50,7.5,1,1,42,cpu,success,338.8685276,2.280399323,0.297533691,0.003614984,1,
2025-12-11T16:35:03.245509,sd-v1.5,50,7.5,1,2,42,cpu,success,347.9158449,2.291164398,0.297533691,0.003614984,1,
